experiment,features,classifier,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,eer,n_samples
mfcc_svm,mfcc,svm,0.892,0.8537906137184116,0.946,0.8975332068311196,0.9728159999999999,0.08699999999999998,1000
lfcc_svm,lfcc,svm,0.988,0.9919354838709677,0.984,0.9879518072289156,0.99902,0.015000000000000006,1000
mfcc_rf,mfcc,random_forest,0.893,0.9034907597535934,0.88,0.8915906788247214,0.9554000000000001,0.11299999999999999,1000
mfcc_spectral_svm,mfcc+spectral,svm,0.909,0.8645276292335116,0.97,0.9142318567389256,0.979576,0.07399999999999998,1000
mfcc_lfcc_spectral_svm,mfcc+lfcc+spectral,svm,0.995,0.9940119760479041,0.996,0.995004995004995,0.9998319999999999,0.003000000000000002,1000
